method_display,run_directory,method,run,evaluation_scope,generator,n,n_ai,n_human,accuracy,balanced_accuracy,precision_ai,recall_ai,f1_ai,macro_f1,roc_auc,pr_auc,tn_human,fp_human_as_ai,fn_ai_as_human,tp_ai
Direct validation,method1_direct_validation,direct_validation,seed_0,overall,all,6330,5064,1266,0.6704581358609795,0.7842614533965244,0.9891590013140604,0.5945892575039494,0.7427232363098175,0.6422315654308315,0.9169809690308444,0.9774066653815986,1233,33,2053,3011
Direct validation,method1_direct_validation,direct_validation,seed_0,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.7555292259083728,0.7555292259083728,0.9537166900420756,0.5371248025276462,0.6872157655381506,0.7432837336604854,0.9207100145000237,0.9204630931068573,1233,33,586,680
Direct validation,method1_direct_validation,direct_validation,seed_0,generator_vs_human,glm-4-flash,2532,1266,1266,0.882306477093207,0.882306477093207,0.9680851063829788,0.7906793048973144,0.8704347826086957,0.881310010696533,0.9730766879050834,0.9735248330221692,1233,33,265,1001
Direct validation,method1_direct_validation,direct_validation,seed_0,generator_vs_human,glm-5.1,2532,1266,1266,0.6327014218009479,0.6327014218009479,0.917910447761194,0.2914691943127962,0.4424460431654676,0.5842972265297304,0.8146910696325579,0.8186902345710233,1233,33,897,369
Direct validation,method1_direct_validation,direct_validation,seed_0,generator_vs_human,gpt-4o,2532,1266,1266,0.8665086887835703,0.8665086887835702,0.9668008048289738,0.759083728278041,0.8504424778761062,0.8649501975685809,0.9594461040857124,0.9619419987180744,1233,33,305,961
Last layer (150),run_01,last_layer_150,seed_101,overall,all,6330,5064,1266,0.821958925750395,0.8718404423380727,0.9859294001481116,0.7887045813586098,0.8763576522216128,0.7792225496651082,0.9419716725440428,0.984541036576667,1209,57,1070,3994
Last layer (150),run_01,last_layer_150,seed_101,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.8755924170616114,0.8755924170616114,0.9464788732394366,0.7962085308056872,0.8648648648648649,0.8748034532886344,0.948189867952452,0.9489101699883484,1209,57,258,1008
Last layer (150),run_01,last_layer_150,seed_101,generator_vs_human,glm-4-flash,2532,1266,1266,0.9451026856240128,0.9451026856240128,0.9540692989524576,0.9352290679304898,0.9445552453131232,0.9450973332549192,0.9831752306651792,0.9833403948038748,1209,57,82,1184
Last layer (150),run_01,last_layer_150,seed_101,generator_vs_human,glm-5.1,2532,1266,1266,0.7401263823064771,0.7401263823064771,0.9210526315789472,0.5252764612954186,0.6690140845070423,0.7275499551273833,0.8630459034313396,0.8665683909008336,1209,57,601,665
Last layer (150),run_01,last_layer_150,seed_101,generator_vs_human,gpt-4o,2532,1266,1266,0.9265402843601896,0.9265402843601896,0.9522613065326632,0.8981042654028436,0.9243902439024392,0.926480836236934,0.9734756881272008,0.9754782906682756,1209,57,129,1137
Last layer (150),run_02,last_layer_150,seed_102,overall,all,6330,5064,1266,0.80173775671406,0.8606832543443917,0.9867109634551496,0.7624407582938388,0.8601982845048457,0.7597217325320862,0.9386111329484964,0.9836312759416784,1214,52,1203,3861
Last layer (150),run_02,last_layer_150,seed_102,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.8625592417061612,0.8625592417061612,0.949119373776908,0.7661927330173776,0.8479020979020979,0.8612709336772737,0.944662818295486,0.9454738139228264,1214,52,296,970
Last layer (150),run_02,last_layer_150,seed_102,generator_vs_human,glm-4-flash,2532,1266,1266,0.9375987361769352,0.9375987361769352,0.9570957095709572,0.9162717219589256,0.9362389023405971,0.9375703405747844,0.9820181612173032,0.982272916687513,1214,52,106,1160
Last layer (150),run_02,last_layer_150,seed_102,generator_vs_human,glm-5.1,2532,1266,1266,0.7227488151658767,0.7227488151658767,0.9221556886227544,0.4865718799368088,0.6370217166494312,0.7063702832448434,0.8559506250483542,0.8599778653190124,1214,52,650,616
Last layer (150),run_02,last_layer_150,seed_102,generator_vs_human,gpt-4o,2532,1266,1266,0.919826224328594,0.919826224328594,0.9554413024850044,0.8807266982622433,0.916563912864776,0.9197034691651892,0.9718129272328416,0.974001233640151,1214,52,151,1115
Last layer (150),run_03,last_layer_150,seed_103,overall,all,6330,5064,1266,0.812954186413902,0.866804897314376,0.9862155388471178,0.7770537124802528,0.8692290700242986,0.7704437086117055,0.9438038291542816,0.9849201537460344,1211,55,1129,3935
Last layer (150),run_03,last_layer_150,seed_103,generator_vs_human,gemini-2.5-flash,2532,1266,1266,0.8700631911532386,0.8700631911532386,0.9474689589302768,0.7835703001579779,0.8577604842196281,0.8690838044507809,0.9500441739104394,0.9497188898174342,1211,55,274,992
Last layer (150),run_03,last_layer_150,seed_103,generator_vs_human,glm-4-flash,2532,1266,1266,0.9411532385466036,0.9411532385466036,0.9551752241238792,0.9257503949447078,0.9402326514239872,0.9411392739811496,0.983630696125923,0.9836081191174812,1211,55,94,1172
Last layer (150),run_03,last_layer_150,seed_103,generator_vs_human,glm-5.1,2532,1266,1266,0.7326224328593997,0.7326224328593997,0.9213161659513592,0.5086887835703001,0.655470737913486,0.7185065854782016,0.8671650581872723,0.8683435227049697,1211,55,622,644
Last layer (150),run_03,last_layer_150,seed_103,generator_vs_human,gpt-4o,2532,1266,1266,0.9233807266982622,0.9233807266982622,0.9534686971235194,0.8902053712480252,0.920751633986928,0.9232963062901,0.974375388393492,0.9760119864963872,1211,55,139,1127
Last layer (150),run_04,last_layer_150,seed_104,overall,all,6330,5064,1266,0.809478672985782,0.8646327014218009,0.9861391129032258,0.7727093206951027,0.8664747564216121,0.7670301014743122,0.938969032092221,0.9838132868150468,1211,55,1151,3913
