method_display,evaluation_scope,generator,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_count,precision_ai_mean,precision_ai_std,precision_ai_min,precision_ai_max,precision_ai_count,recall_ai_mean,recall_ai_std,recall_ai_min,recall_ai_max,recall_ai_count,f1_ai_mean,f1_ai_std,f1_ai_min,f1_ai_max,f1_ai_count,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,macro_f1_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,pr_auc_count
Direct validation,overall,all,0.6704581358609795,,0.6704581358609795,0.6704581358609795,1,0.7842614533965244,,0.7842614533965244,0.7842614533965244,1,0.9891590013140604,,0.9891590013140604,0.9891590013140604,1,0.5945892575039494,,0.5945892575039494,0.5945892575039494,1,0.7427232363098175,,0.7427232363098175,0.7427232363098175,1,0.6422315654308315,,0.6422315654308315,0.6422315654308315,1,0.9169809690308444,,0.9169809690308444,0.9169809690308444,1,0.9774066653815986,,0.9774066653815986,0.9774066653815986,1
Direct validation,generator_vs_human,gemini-2.5-flash,0.7555292259083728,,0.7555292259083728,0.7555292259083728,1,0.7555292259083728,,0.7555292259083728,0.7555292259083728,1,0.9537166900420756,,0.9537166900420756,0.9537166900420756,1,0.5371248025276462,,0.5371248025276462,0.5371248025276462,1,0.6872157655381506,,0.6872157655381506,0.6872157655381506,1,0.7432837336604854,,0.7432837336604854,0.7432837336604854,1,0.9207100145000237,,0.9207100145000237,0.9207100145000237,1,0.9204630931068573,,0.9204630931068573,0.9204630931068573,1
Direct validation,generator_vs_human,glm-4-flash,0.882306477093207,,0.882306477093207,0.882306477093207,1,0.882306477093207,,0.882306477093207,0.882306477093207,1,0.9680851063829788,,0.9680851063829788,0.9680851063829788,1,0.7906793048973144,,0.7906793048973144,0.7906793048973144,1,0.8704347826086957,,0.8704347826086957,0.8704347826086957,1,0.881310010696533,,0.881310010696533,0.881310010696533,1,0.9730766879050834,,0.9730766879050834,0.9730766879050834,1,0.9735248330221692,,0.9735248330221692,0.9735248330221692,1
Direct validation,generator_vs_human,glm-5.1,0.6327014218009479,,0.6327014218009479,0.6327014218009479,1,0.6327014218009479,,0.6327014218009479,0.6327014218009479,1,0.917910447761194,,0.917910447761194,0.917910447761194,1,0.2914691943127962,,0.2914691943127962,0.2914691943127962,1,0.4424460431654676,,0.4424460431654676,0.4424460431654676,1,0.5842972265297304,,0.5842972265297304,0.5842972265297304,1,0.8146910696325579,,0.8146910696325579,0.8146910696325579,1,0.8186902345710233,,0.8186902345710233,0.8186902345710233,1
Direct validation,generator_vs_human,gpt-4o,0.8665086887835703,,0.8665086887835703,0.8665086887835703,1,0.8665086887835702,,0.8665086887835702,0.8665086887835702,1,0.9668008048289738,,0.9668008048289738,0.9668008048289738,1,0.759083728278041,,0.759083728278041,0.759083728278041,1,0.8504424778761062,,0.8504424778761062,0.8504424778761062,1,0.8649501975685809,,0.8649501975685809,0.8649501975685809,1,0.9594461040857124,,0.9594461040857124,0.9594461040857124,1,0.9619419987180744,,0.9619419987180744,0.9619419987180744,1
Last layer (150),overall,all,0.811437598736177,0.007264062879347241,0.80173775671406,0.821958925750395,5,0.8659162717219588,0.004031290612676481,0.8606832543443917,0.8718404423380727,5,0.9862337944231594,0.0002886280312599495,0.9859294001481116,0.9867109634551496,5,0.7751184834123223,0.009421314737460693,0.7624407582938388,0.7887045813586098,5,0.8679976283699306,0.005801462023546534,0.8601982845048457,0.8763576522216128,5,0.7689995187898213,0.007012994747430304,0.7597217325320862,0.7792225496651082,5,0.940483782309971,0.00229432664614161,0.9386111329484964,0.9438038291542816,5,0.9841515464626992,0.0005516568756067519,0.9836312759416784,0.9849201537460344,5
Last layer (150),generator_vs_human,gemini-2.5-flash,0.8684044233807267,0.004856374770596962,0.8625592417061612,0.8755924170616114,5,0.8684044233807267,0.004856374770596979,0.8625592417061612,0.8755924170616114,5,0.9474391567639747,0.0010059795938053276,0.9464788732394366,0.949119373776908,5,0.7800947867298579,0.011024547439095023,0.7661927330173776,0.7962085308056872,5,0.8556235823993974,0.006289930667704992,0.8479020979020979,0.8648648648648649,5,0.8673616360503722,0.005037251418250948,0.8612709336772737,0.8748034532886344,5,0.9466797191837062,0.00233303956131173,0.944662818295486,0.9500441739104394,5,0.9475223371954385,0.0017434769521488475,0.9454738139228264,0.9497188898174342,5
Last layer (150),generator_vs_human,glm-4-flash,0.9408372827804108,0.0027276929936543813,0.9375987361769352,0.9451026856240128,5,0.9408372827804108,0.0027276929936543813,0.9375987361769352,0.9451026856240128,5,0.9553015265881489,0.001101022174155712,0.9540692989524576,0.9570957095709572,5,0.9249605055292258,0.006794885676968966,0.9162717219589256,0.9352290679304898,5,0.9398728793517354,0.003014214315454698,0.9362389023405971,0.9445552453131232,5,0.9408213075914045,0.002735620671861949,0.9375703405747844,0.9450973332549192,5,0.982632790019192,0.0007241075476741554,0.9820181612173032,0.983630696125923,5,0.9828909382553619,0.0005587495468651352,0.982272916687513,0.9836081191174812,5
Last layer (150),generator_vs_human,glm-5.1,0.7312006319115324,0.006248369782574621,0.7227488151658767,0.7401263823064771,5,0.7312006319115324,0.006248369782574621,0.7227488151658767,0.7401263823064771,5,0.9211586010692778,0.0006490445584401347,0.9204052098408104,0.9221556886227544,5,0.5056872037914691,0.013867003063904246,0.4865718799368088,0.5252764612954186,5,0.6528418379315604,0.011477845344304929,0.6370217166494312,0.6690140845070423,5,0.7167621357788103,0.007607025478353977,0.7063702832448434,0.7275499551273833,5,0.859883600498142,0.004992720520785645,0.8559506250483542,0.8671650581872723,5,0.8637224322469832,0.0035538670781292006,0.8599778653190124,0.8683435227049697,5
Last layer (150),generator_vs_human,gpt-4o,0.9232227488151658,0.002379521379366898,0.919826224328594,0.9265402843601896,5,0.923222748815166,0.002379521379366892,0.919826224328594,0.9265402843601896,5,0.9536138600940929,0.0011451151540826099,0.9522613065326632,0.9554413024850044,5,0.8897314375987362,0.006159111750274254,0.8807266982622433,0.8981042654028436,5,0.9205536018260239,0.0027737578922015977,0.916563912864776,0.9243902439024392,5,0.9231351619436614,0.0024019684851334833,0.9197034691651892,0.926480836236934,5,0.9727390195388443,0.001131913060114586,0.9718129272328416,0.974375388393492,5,0.9748766085417317,0.0008351266984577905,0.974001233640151,0.9760119864963872,5
